HospitalID,IndicatorID,Date,HospitalValue,BoardValue
42,39,01 Dec 2020,313.613,958.484
42,18,31 Mar 2021,NA,49
42,19,31 Mar 2021,NA,102
42,35,31 Mar 2021,NA,0.477
42,36,31 Mar 2021,NA,9262
42,37,31 Mar 2021,NA,279.9
42,38,31 Mar 2021,NA,4439.9
9,1,20 Jun 2021,594,594
9,2,20 Jun 2021,0.756,0.756
9,3,20 Jun 2021,145,145
9,4,20 Jun 2021,34,34
9,5,20 Jun 2021,25,25
9,6,31 May 2021,2653,2682
9,7,31 May 2021,0.842,0.844
9,10,31 May 2021,419,419
9,12,31 May 2021,64,64
9,13,31 May 2021,24,24
9,14,31 May 2021,0.332,0.328
9,15,01 Oct 2018,0.86,0.86
9,16,01 Oct 2018,-0.009,-0.017
9,25,29 Apr 2021,NA,38
9,26,29 Apr 2021,NA,22
9,27,01 Apr 2021,NA,1067
9,28,01 Apr 2021,0.035,0.035
9,29,01 Apr 2021,0.014,0.014
9,30,31 Mar 2021,NA,28
9,31,31 Mar 2021,NA,205.9
9,32,31 Mar 2021,NA,35
9,33,31 Mar 2021,NA,366.2
9,34,01 Mar 2021,NA,0.744
9,39,01 Dec 2020,204.452,204.452
9,18,31 Mar 2021,NA,47
9,19,31 Mar 2021,NA,61
9,35,31 Mar 2021,NA,0.547
9,36,31 Mar 2021,NA,2719.6
9,37,31 Mar 2021,NA,93.4
9,38,31 Mar 2021,NA,1175.3
13,1,20 Jun 2021,662,925
13,2,20 Jun 2021,0.763,0.811
13,3,20 Jun 2021,157,175
13,4,20 Jun 2021,26,30
13,5,20 Jun 2021,0,1
13,6,31 May 2021,2518,3424
13,7,31 May 2021,0.855,0.871
13,10,31 May 2021,365,443
13,12,31 May 2021,24,36
13,13,31 May 2021,0,2
13,14,31 May 2021,0.298,0.237
13,15,01 Oct 2018,0.821,0.907
13,16,01 Oct 2018,-0.228,-0.2
13,25,29 Apr 2021,NA,31
13,26,29 Apr 2021,NA,20
13,27,01 Apr 2021,NA,966
13,28,01 Apr 2021,0.066,0.063
13,29,01 Apr 2021,0.013,0.012
13,30,31 Mar 2021,NA,28
13,31,31 Mar 2021,NA,207
13,32,31 Mar 2021,NA,33
13,33,31 Mar 2021,NA,160
13,34,01 Mar 2021,NA,0.731
13,39,01 Dec 2020,269.355,323.903
13,18,31 Mar 2021,NA,45
13,19,31 Mar 2021,NA,102
13,35,31 Mar 2021,NA,0.9
13,36,31 Mar 2021,NA,3845.8
13,37,31 Mar 2021,NA,119.9
13,38,31 Mar 2021,NA,1844.1
16,1,20 Jun 2021,263,925
16,2,20 Jun 2021,0.932,0.811
16,3,20 Jun 2021,18,175
16,4,20 Jun 2021,4,30
16,5,20 Jun 2021,1,1
16,6,31 May 2021,906,3424
16,7,31 May 2021,0.914,0.871
16,10,31 May 2021,78,443
16,12,31 May 2021,12,36
16,13,31 May 2021,2,2
16,14,31 May 2021,0.068,0.237
16,15,01 Oct 2018,NA,0.907
16,16,01 Oct 2018,NA,-0.2
16,25,29 Apr 2021,NA,31
16,26,29 Apr 2021,NA,20
16,27,01 Apr 2021,NA,966
16,28,01 Apr 2021,0.063,0.063
16,29,01 Apr 2021,0,0.012
16,30,31 Mar 2021,NA,28
16,31,31 Mar 2021,NA,207
16,32,31 Mar 2021,NA,33
16,33,31 Mar 2021,NA,160
16,34,01 Mar 2021,NA,0.731
16,39,01 Dec 2020,25.419,323.903
16,18,31 Mar 2021,NA,45
16,19,31 Mar 2021,NA,102
16,35,31 Mar 2021,NA,0.9
16,36,31 Mar 2021,NA,3845.8
16,37,31 Mar 2021,NA,119.9
16,38,31 Mar 2021,NA,1844.1
